event_player_key,event_key,game_id,player_id,event_index,player_role,role_number,period,event_type,player_game_number,linked_event_index,tracking_event_index,event_start_min,event_start_sec,event_end_min,event_end_sec,role_abrev,event_team_zone,home_team_zone,away_team_zone,team_venue,team_venue_abv,side_of_puck,sequence_index,play_index,play_detail1,play_detail_2,play_detail_successful,pressured_pressurer,zone_change_index,home_team,away_team,Type,event_detail,event_detail_2,event_successful,shift_index,duration,time_start_total_seconds,time_end_total_seconds,running_intermission_duration,period_start_total_running_seconds,running_video_time,event_running_start,event_running_end,player_team,player_name,play_detail,period_id,venue_id,event_type_id,event_detail_id,event_detail_2_id,success_id,play_detail_success_id,zone_id,play_detail_id,play_detail_2_id,role_id,home_team_id,away_team_id,player_team_id
P18969010000,E18969001000,18969,,1000.0,,,1.0,GameStart,,,1000.0,,,,,,,,,,,,,,,,,,1.0,Platinum,Velodrome,GameStart,,,,,,,,,0.0,0.0,0.0,5.0,,,,P0001,,ET0005,,,,,,,,,N10008,N10010,
P18969010011,E18969001001,18969,P100192,1001.0,event_team_player_1,1.0,1.0,Faceoff,53.0,,1001.0,18.0,0.0,,,e,n,n,n,Home,h,Offensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,Platinum,Chris Premo,,P0001,VN0001,ET0003,ED0006,,,,ZN0003,,,RL0001,N10008,N10010,N10008
P18969010012,E18969001001,18969,P100025,1001.0,event_team_player_2,2.0,1.0,Faceoff,21.0,,1001.0,18.0,0.0,,,e,n,n,n,Home,h,Offensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,Platinum,Andrew Marshall,,P0001,VN0001,ET0003,ED0006,,,,ZN0003,,,RL0002,N10008,N10010,N10008
P18969010011,E18969001001,18969,P100001,1001.0,opp_team_player_1,1.0,1.0,Faceoff,70.0,,1001.0,18.0,0.0,,,o,n,n,n,Home,h,Defensive,,,,,,,1.0,Platinum,Velodrome,Faceoff,Faceoff_GameStart,,,1.0,0.0,1080.0,1080.0,0.0,0.0,0.0,0.0,5.0,Velodrome,Sam Downs,,P0001,VN0001,ET0003,ED0006,,,,ZN0003,,,RL0008,N10008,N10010,N10010
P18969010021,E18969001002,18969,P100025,1002.0,event_team_player_1,1.0,1.0,Pass,21.0,,1002.0,17.0,59.0,,,e,n,n,n,Home,h,Offensive,5001.0,,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1079.0,1079.0,0.0,0.0,1.0,0.0,5.0,Platinum,Andrew Marshall,,P0001,VN0001,ET0009,ED0010,E20026,SC0001,,ZN0003,,,RL0001,N10008,N10010,N10008
P18969010022,E18969001002,18969,P100030,1002.0,event_team_player_2,2.0,1.0,Pass,8.0,,1002.0,17.0,59.0,,,e,n,n,n,Home,h,Offensive,5001.0,,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Forehand,s,1.0,0.0,1079.0,1079.0,0.0,0.0,1.0,0.0,5.0,Platinum,Jesse Chambless,,P0001,VN0001,ET0009,ED0010,E20026,SC0001,,ZN0003,,,RL0002,N10008,N10010,N10008
P18969010031,E18969001003,18969,P100030,1003.0,event_team_player_1,1.0,1.0,Possession,8.0,,1003.0,17.0,58.0,17.0,52.0,e,n,n,n,Home,h,Offensive,5001.0,,Delay,,,,1.0,Platinum,Velodrome,Possession,Regroup,,,1.0,6.0,1078.0,1072.0,0.0,0.0,2.0,0.0,11.0,Platinum,Jesse Chambless,Delay,P0001,VN0001,ET0013,ED0026,,,,ZN0003,PD0061,,RL0001,N10008,N10010,N10008
P18969010031,E18969001003,18969,P100161,1003.0,opp_team_player_1,1.0,1.0,Possession,49.0,,1003.0,17.0,58.0,17.0,52.0,o,n,n,n,Home,h,Defensive,5001.0,,,,,,1.0,Platinum,Velodrome,Possession,Regroup,,,1.0,6.0,1078.0,1072.0,0.0,0.0,2.0,0.0,11.0,Velodrome,Galen Wood,,P0001,VN0001,ET0013,ED0026,,,,ZN0003,,,RL0008,N10008,N10010,N10010
P18969010041,E18969001004,18969,P100030,1004.0,event_team_player_1,1.0,1.0,Pass,8.0,,1004.0,17.0,50.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Bank,s,1.0,0.0,1070.0,1070.0,0.0,0.0,10.0,5.0,10.0,Platinum,Jesse Chambless,,P0001,VN0001,ET0009,ED0010,E20022,SC0001,,ZN0003,,,RL0001,N10008,N10010,N10008
P18969010042,E18969001004,18969,P100024,1004.0,event_team_player_2,2.0,1.0,Pass,20.0,,1004.0,17.0,50.0,,,e,n,n,n,Home,h,Offensive,5001.0,6001.0,,,,,1.0,Platinum,Velodrome,Pass,Pass_Completed,Pass-Bank,s,1.0,0.0,1070.0,1070.0,0.0,0.0,10.0,5.0,10.0,Platinum,John Thien,,P0001,VN0001,ET0009,ED0010,E20022,SC0001,,ZN0003,,,RL0002,N10008,N10010,N10008
