play_key,play_id,game_id,season_id,period,period_id,sequence_key,first_event_key,last_event_key,event_count,start_min,start_sec,duration_seconds,video_time_start,video_time_end,time_bucket_id,strength_id,home_team,home_team_id,away_team,away_team_id,start_zone,end_zone,start_zone_id,end_zone_id,event_types,has_goal,goal_count,has_shot,shot_count,zone_entry_count,zone_exit_count,pass_count,pass_success_count,turnover_count,giveaway_count,takeaway_count,unique_player_count,player_ids
PL1896900201,PL1896900201,18969,N20252026F,1,P01,SQ1896900002,EV1896901001,EV1896901010,6,18.0,0.0,12.0,0.0,23.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Faceoff,Pass,Possession,Pass,Possession,Possession",False,0,False,0,0,0,2,2,0,0,0,6,"P100024,P100025,P100030,P100070,P100161,P100192"
PL1896910502,PL1896910502,18969,N20252026F,1,P01,SQ1896900105,EV1896901005,EV1896901006,2,17.0,49.0,0.0,11.0,11.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Zone_Entry_Exit,Turnover",False,0,False,0,1,0,0,0,1,1,0,1,P100024
PL1896910504,PL1896910504,18969,N20252026F,1,P01,SQ1896900105,EV1896901008,EV1896901009,2,17.0,41.0,0.0,19.0,19.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,2,"P100070,P100161"
PL1896900202,PL1896900202,18969,N20252026F,1,P01,SQ1896900002,EV1896901011,EV1896901011,1,17.0,37.0,4.0,23.0,27.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Zone_Entry_Exit,False,0,False,0,1,0,0,0,0,0,0,1,P100161
PL1896900203,PL1896900203,18969,N20252026F,1,P01,SQ1896900002,EV1896901012,EV1896901016,5,17.0,33.0,4.0,27.0,33.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,"Shot,Possession,Possession,Pass,Turnover",False,0,True,1,0,0,1,1,1,1,0,2,"P100070,P100161"
PL1896900204,PL1896900204,18969,N20252026F,1,P01,SQ1896900002,EV1896901017,EV1896901021,3,17.0,23.0,8.0,37.0,45.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,n,ZN02,ZN03,"Possession,Possession,Possession",False,0,False,0,0,0,0,0,0,0,0,3,"P100023,P100025,P100030"
PL1896910506,PL1896910506,18969,N20252026F,1,P01,SQ1896900105,EV1896901018,EV1896901019,2,17.0,20.0,0.0,40.0,40.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,0,0,0,0,2,"P100025,P100192"
PL1896900205,PL1896900205,18969,N20252026F,1,P01,SQ1896900002,EV1896901022,EV1896901022,1,17.0,12.0,4.0,48.0,52.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Zone_Entry_Exit,False,0,False,0,1,0,0,0,0,0,0,1,P100030
PL1896900206,PL1896900206,18969,N20252026F,1,P01,SQ1896900002,EV1896901023,EV1896901023,1,17.0,8.0,3.0,52.0,55.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Possession,False,0,False,0,0,0,0,0,0,0,0,1,P100030
PL1896900207,PL1896900207,18969,N20252026F,1,P01,SQ1896900002,EV1896901024,EV1896901024,1,17.0,5.0,0.0,55.0,55.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,Turnover,False,0,False,0,0,0,0,0,1,0,1,1,P100108
PL1896900209,PL1896900209,18969,N20252026F,1,P01,SQ1896900002,EV1896901025,EV1896901025,1,17.0,2.0,0.0,58.0,58.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,Turnover,False,0,False,0,0,0,0,0,1,1,0,1,P100108
PL1896900210,PL1896900210,18969,N20252026F,1,P01,SQ1896900002,EV1896901026,EV1896901038,8,16.0,59.0,9.0,61.0,80.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,n,ZN01,ZN03,"Possession,Shot,Possession,Shot,Possession,Pass,Possession,Possession",False,0,True,2,0,0,1,1,0,0,0,5,"P100001,P100024,P100030,P100108,P100192"
PL1896910507,PL1896910507,18969,N20252026F,1,P01,SQ1896900105,EV1896901032,EV1896901034,3,16.0,48.0,0.0,72.0,72.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Rebound",False,0,True,1,0,0,0,0,0,0,0,3,"P100016,P100024,P100108"
PL1896910508,PL1896910508,18969,N20252026F,1,P01,SQ1896900105,EV1896901036,EV1896901037,2,16.0,42.0,0.0,78.0,78.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,d,d,ZN02,ZN02,"Pass,Zone_Entry_Exit",False,0,False,0,0,1,1,1,0,0,0,2,"P100001,P100108"
PL1896910601,PL1896910601,18969,N20252026F,1,P01,SQ1896900106,EV1896901039,EV1896901041,3,16.0,40.0,21.0,80.0,106.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,n,n,ZN03,ZN03,"Pass,Stoppage,DeadIce",False,0,False,0,0,0,1,0,0,0,0,2,"P100001,P100039"
PL1896900401,PL1896900401,18969,N20252026F,1,P01,SQ1896900004,EV1896901042,EV1896901057,11,16.0,14.0,14.0,106.0,131.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,n,ZN01,ZN03,"Faceoff,Possession,Possession,Pass,Possession,Pass,Possession,Possession,Pass,Possession,Pass",False,0,False,0,0,0,4,3,0,0,0,5,"P100022,P100023,P100107,P100110,P100117"
PL1896910701,PL1896910701,18969,N20252026F,1,P01,SQ1896900107,EV1896901043,EV1896901053,5,16.0,12.0,0.0,108.0,125.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,d,ZN01,ZN02,"Shot,Save,Rebound,Pass,Zone_Entry_Exit",False,0,True,1,0,1,1,0,0,0,0,7,"P100016,P100022,P100023,P100093,P100107,P100201,P100224"
PL1896900402,PL1896900402,18969,N20252026F,1,P01,SQ1896900004,EV1896901058,EV1896901058,1,15.0,48.0,5.0,132.0,137.0,TB01,STR0001,Platinum,N10008,Velodrome,N10010,o,o,ZN01,ZN01,Zone_Entry_Exit,False,0,False,0,1,0,0,0,0,0,0,1,P100022
