shift_id,game_id,shift_index,period,shift_start_type,shift_stop_type,shift_start_min,shift_start_sec,shift_end_min,shift_end_sec,home_team,away_team,home_forward_1,home_forward_2,home_forward_3,home_defense_1,home_defense_2,home_xtra,home_goalie,away_forward_1,away_forward_2,away_forward_3,away_defense_1,away_defense_2,away_xtra,away_goalie,shift_start_total_seconds,shift_end_total_seconds,shift_duration,home_team_strength,away_team_strength,home_team_en,away_team_en,home_team_pk,home_team_pp,away_team_pp,away_team_pk,situation,strength,home_goals,away_goals,stoppage_time,home_ozone_start,home_ozone_end,home_dzone_start,home_dzone_end,home_nzone_start,home_nzone_end,period_id,home_team_id,away_team_id,season_id,time_bucket_id,strength_id,shift_start_type_derived,shift_stop_type_derived,start_zone,end_zone,start_zone_id,end_zone_id,home_forward_1_id,home_forward_2_id,home_forward_3_id,home_defense_1_id,home_defense_2_id,home_xtra_id,home_goalie_id,away_forward_1_id,away_forward_2_id,away_forward_3_id,away_defense_1_id,away_defense_2_id,away_xtra_id,away_goalie_id,home_gf_all,home_ga_all,away_gf_all,away_ga_all,home_gf_ev,home_ga_ev,away_gf_ev,away_ga_ev,home_gf_nen,home_ga_nen,away_gf_nen,away_ga_nen,home_gf_pp,home_ga_pp,away_gf_pp,away_ga_pp,home_gf_pk,home_ga_pk,away_gf_pk,away_ga_pk,home_pm_all,away_pm_all,home_pm_ev,away_pm_ev,home_pm_nen,away_pm_nen,home_pm_pp,away_pm_pp,home_pm_pk,away_pm_pk,sf,sa,shot_diff,cf,ca,cf_pct,ff,fa,ff_pct,scf,sca,hdf,hda,zone_entries,zone_exits,giveaways,takeaways,fo_won,fo_lost,fo_pct,event_count,shift_start_type_id,shift_stop_type_id,situation_id,shift_key
SH1896900001,18969,1,1.0,GameStart,Away Icing,18.0,0.0,16.0,38.0,Platinum,Velodrome,53.0,20.0,12.0,8.0,21.0,,99.0,70.0,75.0,49.0,52.0,22.0,,39.0,1080.0,998.0,82.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,0.0,1.0,,,1.0,,P01,N10008,N10010,N20252026F,TB01,STR0001,GameStart,Away Icing,n,n,3.0,3.0,P100192,P100024,P100027,P100030,P100025,,P100202,P100001,P100039,P100161,P100070,P100108,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,75.0,3,1,75.0,3,1,1,0,3,3,3,1,0,0,0.0,39,SST0001,SPT0001,SIT0001,SH1896900001
SH1896900002,18969,2,1.0,OtherFaceoff,,16.0,38.0,15.0,19.0,Platinum,Velodrome,45.0,82.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,84.0,93.0,,39.0,998.0,919.0,79.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,21.0,1.0,,,1.0,,,P01,N10008,N10010,N20252026F,TB01,STR0001,OtherFaceoff,Stoppage,d,n,2.0,3.0,P100117,P100110,P100022,P100023,P100107,,P100202,P100201,P100002,P100224,P100198,P100093,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,100.0,1,0,100.0,1,0,0,0,3,3,4,0,0,0,0.0,38,SST0002,SPT0002,SIT0001,SH1896900002
SH1896900003,18969,3,1.0,,,15.0,19.0,15.0,10.0,Platinum,Velodrome,45.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,84.0,9.0,,39.0,919.0,910.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,1.0,1.0,,,P01,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,d,d,2.0,2.0,P100117,P100210,P100022,P100023,P100107,,P100202,P100201,P100002,P100224,P100198,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,1,0,0,0,0.0,4,SST0003,SPT0003,SIT0001,SH1896900003
SH1896900004,18969,4,1.0,,,15.0,10.0,14.0,41.0,Platinum,Velodrome,45.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,910.0,881.0,29.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,1.0,,,1.0,P01,N10008,N10010,N20252026F,TB01,STR0001,OnTheFly,OnTheFly,o,o,1.0,1.0,P100117,P100210,P100022,P100023,P100107,,P100202,P100201,P100002,P100224,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,1,1,3,0,0,0,0.0,16,SST0003,SPT0003,SIT0001,SH1896900004
SH1896900005,18969,5,1.0,,,14.0,41.0,14.0,37.0,Platinum,Velodrome,53.0,47.0,34.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,881.0,877.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,,,1.0,1.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,d,d,2.0,2.0,P100192,P100210,P100022,P100023,P100107,,P100202,P100201,P100002,P100224,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,1,0,1,0,0,0.0,2,SST0003,SPT0003,SIT0001,SH1896900005
SH1896900006,18969,6,1.0,,Away Icing,14.0,37.0,14.0,29.0,Platinum,Velodrome,53.0,47.0,86.0,3.0,78.0,,99.0,42.0,91.0,61.0,52.0,9.0,,39.0,877.0,869.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,,,1.0,1.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,Away Icing,n,n,3.0,3.0,P100192,P100210,P100222,P100023,P100107,,P100202,P100201,P100002,P100224,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,1,0,0,2,0,0,0.0,7,SST0003,SPT0001,SIT0001,SH1896900006
SH1896900007,18969,7,1.0,OtherFaceoff,,14.0,29.0,12.0,47.0,Platinum,Velodrome,53.0,47.0,86.0,8.0,3.0,,99.0,70.0,14.0,55.0,52.0,9.0,,39.0,869.0,767.0,102.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,,1.0,1.0,,P01,N10008,N10010,N20252026F,TB02,STR0001,OtherFaceoff,OnTheFly,o,d,1.0,2.0,P100192,P100210,P100222,P100030,P100023,,P100202,P100001,P100132,P100064,P100070,P100105,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,100.0,3,0,100.0,3,0,1,0,2,3,5,3,0,0,0.0,52,SST0002,SPT0003,SIT0001,SH1896900007
SH1896900008,18969,8,1.0,,,12.0,47.0,12.0,40.0,Platinum,Velodrome,53.0,47.0,86.0,8.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,767.0,760.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,,1.0,,,1.0,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,n,o,3.0,1.0,P100192,P100210,P100222,P100030,P100023,,P100202,P100001,P100132,P100064,P100108,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0.0,0,1,0.0,0,1,0,0,0,1,0,0,0,0,0.0,6,SST0003,SPT0003,SIT0001,SH1896900008
SH1896900009,18969,9,1.0,,,12.0,40.0,12.0,24.0,Platinum,Velodrome,53.0,47.0,20.0,78.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,760.0,744.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,,1.0,,,1.0,,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,o,n,1.0,3.0,P100192,P100210,P100024,P100107,P100023,,P100202,P100001,P100132,P100064,P100108,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,1,0,2,1,0,0,0.0,9,SST0003,SPT0003,SIT0001,SH1896900009
SH1896900010,18969,10,1.0,,,12.0,24.0,12.0,15.0,Platinum,Velodrome,45.0,47.0,20.0,78.0,3.0,,99.0,70.0,14.0,55.0,22.0,84.0,,39.0,744.0,735.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Strength,5v5,0.0,0.0,0.0,1.0,1.0,,,,,P01,N10008,N10010,N20252026F,TB02,STR0001,OnTheFly,OnTheFly,o,o,1.0,1.0,P100117,P100210,P100024,P100107,P100023,,P100202,P100001,P100132,P100064,P100108,P100198,,P100016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,0,2,0,0,0,0.0,4,SST0003,SPT0003,SIT0001,SH1896900010
