shot_danger_key,game_id,event_index,danger_zone,xg,shot_distance,shot_angle,is_rebound,is_rush,is_one_timer
E18969001012,18969,1012.0,unknown,0.09,0.0,0.0,0,0,0
E18969001027,18969,1027.0,unknown,0.09,0.0,0.0,0,0,0
E18969001029,18969,1029.0,unknown,0.09,0.0,0.0,0,0,0
E18969001032,18969,1032.0,unknown,0.09,0.0,0.0,0,0,0
E18969001043,18969,1043.0,unknown,0.09,0.0,0.0,0,0,0
E18969001128,18969,1128.0,unknown,0.09,0.0,0.0,0,0,0
E18969001134,18969,1134.0,unknown,0.09,0.0,0.0,0,0,0
E18969001151,18969,1151.0,unknown,0.09,0.0,0.0,0,0,0
E18969001158,18969,1158.0,unknown,0.09,0.0,0.0,0,0,0
E18969001176,18969,1176.0,unknown,0.09,0.0,0.0,0,0,0
E18969001189,18969,1189.0,unknown,0.09,0.0,0.0,0,0,0
E18969001203,18969,1203.0,unknown,0.09,0.0,0.0,0,0,0
E18969001218,18969,1218.0,unknown,0.09,0.0,0.0,0,0,0
E18969001226,18969,1226.0,unknown,0.09,0.0,0.0,0,0,0
E18969001284,18969,1284.0,unknown,0.09,0.0,0.0,0,0,0
E18969001286,18969,1286.0,unknown,0.09,0.0,0.0,0,0,0
E18969001296,18969,1296.0,unknown,0.09,0.0,0.0,0,0,0
E18969001302,18969,1302.0,unknown,0.09,0.0,0.0,0,0,0
E18969001306,18969,1306.0,unknown,0.09,0.0,0.0,0,0,0
E18969001312,18969,1312.0,unknown,0.09,0.0,0.0,0,0,0
E18969001336,18969,1336.0,unknown,0.09,0.0,0.0,0,0,0
E18969001344,18969,1344.0,unknown,0.09,0.0,0.0,0,0,0
E18969001354,18969,1354.0,unknown,0.09,0.0,0.0,0,0,0
E18969001366,18969,1366.0,unknown,0.09,0.0,0.0,0,0,0
E18969001370,18969,1370.0,unknown,0.09,0.0,0.0,0,0,0
E18969001373,18969,1373.0,unknown,0.09,0.0,0.0,0,0,0
E18969001375,18969,1375.0,unknown,0.09,0.0,0.0,0,0,0
E18969001383,18969,1383.0,unknown,0.09,0.0,0.0,0,0,0
E18969001388,18969,1388.0,unknown,0.09,0.0,0.0,0,0,0
E18969001390,18969,1390.0,unknown,0.09,0.0,0.0,0,0,0
E18969001423,18969,1423.0,unknown,0.09,0.0,0.0,0,0,0
E18969001431,18969,1431.0,unknown,0.09,0.0,0.0,0,0,0
E18969001442,18969,1442.0,unknown,0.09,0.0,0.0,0,0,0
E18969001452,18969,1452.0,unknown,0.09,0.0,0.0,0,0,0
E18969001465,18969,1465.0,unknown,0.09,0.0,0.0,0,0,0
E18969001516,18969,1516.0,unknown,0.09,0.0,0.0,0,0,0
E18969001519,18969,1519.0,unknown,0.09,0.0,0.0,0,0,0
E18969001540,18969,1540.0,unknown,0.09,0.0,0.0,0,0,0
E18969001548,18969,1548.0,unknown,0.09,0.0,0.0,0,0,0
E18969001568,18969,1568.0,unknown,0.09,0.0,0.0,0,0,0
E18969001575,18969,1575.0,unknown,0.09,0.0,0.0,0,0,0
E18969001583,18969,1583.0,unknown,0.09,0.0,0.0,0,0,0
E18969001592,18969,1592.0,unknown,0.09,0.0,0.0,0,0,0
E18969001606,18969,1606.0,unknown,0.09,0.0,0.0,0,0,0
E18969001617,18969,1617.0,unknown,0.09,0.0,0.0,0,0,0
E18969001638,18969,1638.0,unknown,0.09,0.0,0.0,0,0,0
